input,expected_tool_name,expected_tool_args,actual_tool_calls,matched_tool_call,evaluation_result,output,latency_ms,token_usage,execution_success,error
Book a slot for 'Presentation Prep' this Thursday 13:00-15:00.,create_calendar_event,"{""summary"": ""Presentation Prep"", ""start_datetime"": ""2024-07-18 13:00:00"", ""end_datetime"": ""2024-07-18 15:00:00""}","[{""name"": ""create_calendar_event"", ""args"": {""start_datetime"": ""2024-07-18T13:00:00"", ""end_datetime"": ""2024-07-18T15:00:00"", ""summary"": ""Presentation Prep""}}]","{""name"": ""create_calendar_event"", ""args"": {""start_datetime"": ""2024-07-18T13:00:00"", ""end_datetime"": ""2024-07-18T15:00:00"", ""summary"": ""Presentation Prep""}}",PASS,Your event has been scheduled.,1535,,True,
Schedule '1:1 with Manager' next Tuesday 11:30 AM for 30 mins.,create_calendar_event,"{""summary"": ""1:1 with Manager"", ""start_datetime"": ""2024-07-23 11:30:00"", ""end_datetime"": ""2024-07-23 12:00:00""}","[{""name"": ""create_calendar_event"", ""args"": {""start_datetime"": ""2024-07-16T11:30:00"", ""end_datetime"": ""2024-07-16T12:00:00"", ""summary"": ""1:1 with Manager""}}]",,FAIL,Your event has been scheduled.,1643,,True,
What's happening tomorrow?,get_calendar_events,"{""start_datetime"": ""2024-07-17 00:00:00"", ""end_datetime"": ""2024-07-17 23:59:59""}","[{""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-17T00:00:00"", ""end_datetime"": ""2024-07-17T23:59:59""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-17T00:00:00"", ""end_datetime"": ""2024-07-17T23:59:59""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-17T00:00:00"", ""end_datetime"": ""2024-07-17T23:59:59""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-17T00:00:00"", ""end_datetime"": ""2024-07-17T23:59:59""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-17T00:00:00"", ""end_datetime"": ""2024-07-17T23:59:59""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-17T00:00:00"", ""end_datetime"": ""2024-07-17T23:59:59""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-17T00:00:00"", ""end_datetime"": ""2024-07-17T23:59:59""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-17T00:00:00"", ""end_datetime"": ""2024-07-17T23:59:59""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-17T00:00:00"", ""end_datetime"": ""2024-07-17T23:59:59""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-17T00:00:00"", ""end_datetime"": ""2024-07-17T23:59:59""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-17T00:00:00"", ""end_datetime"": ""2024-07-17T23:59:59""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-17T00:00:00"", ""end_datetime"": ""2024-07-17T23:59:59""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-17T00:00:00"", ""end_datetime"": ""2024-07-17T23:59:59""}}]","{""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-17T00:00:00"", ""end_datetime"": ""2024-07-17T23:59:59""}}",PASS,,11917,,False,"Recursion limit of 25 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
For troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/GRAPH_RECURSION_LIMIT"
Find meetings titled 'Planning' next week.,get_calendar_events,"{""summary"": ""Planning"", ""start_datetime"": ""2024-07-22 00:00:00"", ""end_datetime"": ""2024-07-28 23:59:59""}","[{""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00Z"", ""end_datetime"": ""2024-07-23T09:00:00Z"", ""summary"": ""Planning"", ""calendar_id"": ""primary"", ""max_results"": 10, ""order_by"": ""startTime"", ""time_zone"": ""Europe/Amsterdam""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00Z"", ""end_datetime"": ""2024-07-23T09:00:00Z"", ""summary"": ""Planning"", ""calendar_id"": ""primary"", ""max_results"": 10, ""order_by"": ""startTime"", ""time_zone"": ""Europe/Amsterdam""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00Z"", ""end_datetime"": ""2024-07-23T09:00:00Z"", ""summary"": ""Planning"", ""calendar_id"": ""primary"", ""max_results"": 10, ""order_by"": ""startTime"", ""time_zone"": ""Europe/Amsterdam""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00Z"", ""end_datetime"": ""2024-07-23T09:00:00Z"", ""summary"": ""Planning"", ""calendar_id"": ""primary"", ""max_results"": 10, ""order_by"": ""startTime"", ""time_zone"": ""Europe/Amsterdam""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00Z"", ""end_datetime"": ""2024-07-23T09:00:00Z"", ""summary"": ""Planning"", ""calendar_id"": ""primary"", ""max_results"": 10, ""order_by"": ""startTime"", ""time_zone"": ""Europe/Amsterdam""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00Z"", ""end_datetime"": ""2024-07-23T09:00:00Z"", ""summary"": ""Planning"", ""calendar_id"": ""primary"", ""max_results"": 10, ""order_by"": ""startTime"", ""time_zone"": ""Europe/Amsterdam""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00Z"", ""end_datetime"": ""2024-07-23T09:00:00Z"", ""summary"": ""Planning"", ""calendar_id"": ""primary"", ""max_results"": 10, ""order_by"": ""startTime"", ""time_zone"": ""Europe/Amsterdam""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00Z"", ""end_datetime"": ""2024-07-23T09:00:00Z"", ""summary"": ""Planning"", ""calendar_id"": ""primary"", ""max_results"": 10, ""order_by"": ""startTime"", ""time_zone"": ""Europe/Amsterdam""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00Z"", ""end_datetime"": ""2024-07-23T09:00:00Z"", ""summary"": ""Planning"", ""calendar_id"": ""primary"", ""max_results"": 10, ""order_by"": ""startTime"", ""time_zone"": ""Europe/Amsterdam""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00Z"", ""end_datetime"": ""2024-07-23T09:00:00Z"", ""summary"": ""Planning"", ""calendar_id"": ""primary"", ""max_results"": 10, ""order_by"": ""startTime"", ""time_zone"": ""Europe/Amsterdam""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00Z"", ""end_datetime"": ""2024-07-23T09:00:00Z"", ""summary"": ""Planning"", ""calendar_id"": ""primary"", ""max_results"": 10, ""order_by"": ""startTime"", ""time_zone"": ""Europe/Amsterdam""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00Z"", ""end_datetime"": ""2024-07-23T09:00:00Z"", ""summary"": ""Planning"", ""calendar_id"": ""primary"", ""max_results"": 10, ""order_by"": ""startTime"", ""time_zone"": ""Europe/Amsterdam""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00Z"", ""end_datetime"": ""2024-07-23T09:00:00Z"", ""summary"": ""Planning"", ""calendar_id"": ""primary"", ""max_results"": 10, ""order_by"": ""startTime"", ""time_zone"": ""Europe/Amsterdam""}}]",,FAIL,,18041,,False,"Recursion limit of 25 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
For troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/GRAPH_RECURSION_LIMIT"
"Am I free on Tuesday, July 23rd, 2024 from 8am to 12pm?",get_calendar_events,"{""start_datetime"": ""2024-07-23 08:00:00"", ""end_datetime"": ""2024-07-23 12:00:00"", ""calendar_id"": ""primary"", ""max_results"": 10, ""order_by"": ""startTime""}","[{""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-23T08:00:00"", ""end_datetime"": ""2024-07-23T12:00:00""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-23T08:00:00"", ""end_datetime"": ""2024-07-23T12:00:00""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-23T08:00:00"", ""end_datetime"": ""2024-07-23T12:00:00""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-23T08:00:00"", ""end_datetime"": ""2024-07-23T12:00:00""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-23T08:00:00"", ""end_datetime"": ""2024-07-23T12:00:00""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-23T08:00:00"", ""end_datetime"": ""2024-07-23T12:00:00""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-23T08:00:00"", ""end_datetime"": ""2024-07-23T12:00:00""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-23T08:00:00"", ""end_datetime"": ""2024-07-23T12:00:00""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-23T08:00:00"", ""end_datetime"": ""2024-07-23T12:00:00""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-23T08:00:00"", ""end_datetime"": ""2024-07-23T12:00:00""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-23T08:00:00"", ""end_datetime"": ""2024-07-23T12:00:00""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-23T08:00:00"", ""end_datetime"": ""2024-07-23T12:00:00""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-23T08:00:00"", ""end_datetime"": ""2024-07-23T12:00:00""}}]","{""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-23T08:00:00"", ""end_datetime"": ""2024-07-23T12:00:00""}}",PASS,,12868,,False,"Recursion limit of 25 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
For troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/GRAPH_RECURSION_LIMIT"
List my next 3 appointments.,get_calendar_events,"{""max_results"": 3}","[{""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00+02:00"", ""end_datetime"": ""2024-07-16T17:00:00+02:00"", ""max_results"": 3}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00+02:00"", ""end_datetime"": ""2024-07-16T17:00:00+02:00"", ""max_results"": 3}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00+02:00"", ""end_datetime"": ""2024-07-16T17:00:00+02:00"", ""max_results"": 3}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00+02:00"", ""end_datetime"": ""2024-07-16T17:00:00+02:00"", ""max_results"": 3}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00+02:00"", ""end_datetime"": ""2024-07-16T17:00:00+02:00"", ""max_results"": 3}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00+02:00"", ""end_datetime"": ""2024-07-16T17:00:00+02:00"", ""max_results"": 3}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00+02:00"", ""end_datetime"": ""2024-07-16T17:00:00+02:00"", ""max_results"": 3}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00+02:00"", ""end_datetime"": ""2024-07-16T17:00:00+02:00"", ""max_results"": 3}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00+02:00"", ""end_datetime"": ""2024-07-16T17:00:00+02:00"", ""max_results"": 3}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00+02:00"", ""end_datetime"": ""2024-07-16T17:00:00+02:00"", ""max_results"": 3}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00+02:00"", ""end_datetime"": ""2024-07-16T17:00:00+02:00"", ""max_results"": 3}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00+02:00"", ""end_datetime"": ""2024-07-16T17:00:00+02:00"", ""max_results"": 3}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00+02:00"", ""end_datetime"": ""2024-07-16T17:00:00+02:00"", ""max_results"": 3}}]","{""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00+02:00"", ""end_datetime"": ""2024-07-16T17:00:00+02:00"", ""max_results"": 3}}",PASS,,13527,,False,"Recursion limit of 25 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
For troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/GRAPH_RECURSION_LIMIT"
What events do I have with 'Project Phoenix' in the title next month?,get_calendar_events,"{""summary"": ""Project Phoenix"", ""start_datetime"": ""2024-08-01 00:00:00"", ""end_datetime"": ""2024-08-31 23:59:59""}","[{""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-08-01T00:00:00"", ""end_datetime"": ""2024-08-31T23:59:59"", ""summary"": ""Project Phoenix""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-08-01T00:00:00"", ""end_datetime"": ""2024-08-31T23:59:59"", ""summary"": ""Project Phoenix""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-08-01T00:00:00"", ""end_datetime"": ""2024-08-31T23:59:59"", ""summary"": ""Project Phoenix""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-08-01T00:00:00"", ""end_datetime"": ""2024-08-31T23:59:59"", ""summary"": ""Project Phoenix""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-08-01T00:00:00"", ""end_datetime"": ""2024-08-31T23:59:59"", ""summary"": ""Project Phoenix""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-08-01T00:00:00"", ""end_datetime"": ""2024-08-31T23:59:59"", ""summary"": ""Project Phoenix""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-08-01T00:00:00"", ""end_datetime"": ""2024-08-31T23:59:59"", ""summary"": ""Project Phoenix""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-08-01T00:00:00"", ""end_datetime"": ""2024-08-31T23:59:59"", ""summary"": ""Project Phoenix""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-08-01T00:00:00"", ""end_datetime"": ""2024-08-31T23:59:59"", ""summary"": ""Project Phoenix""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-08-01T00:00:00"", ""end_datetime"": ""2024-08-31T23:59:59"", ""summary"": ""Project Phoenix""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-08-01T00:00:00"", ""end_datetime"": ""2024-08-31T23:59:59"", ""summary"": ""Project Phoenix""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-08-01T00:00:00"", ""end_datetime"": ""2024-08-31T23:59:59"", ""summary"": ""Project Phoenix""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-08-01T00:00:00"", ""end_datetime"": ""2024-08-31T23:59:59"", ""summary"": ""Project Phoenix""}}]","{""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-08-01T00:00:00"", ""end_datetime"": ""2024-08-31T23:59:59"", ""summary"": ""Project Phoenix""}}",PASS,,12963,,False,"Recursion limit of 25 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
For troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/GRAPH_RECURSION_LIMIT"
"Show my schedule for July 26th, 2024.",get_calendar_events,"{""start_datetime"": ""2024-07-26 00:00:00"", ""end_datetime"": ""2024-07-27 00:00:00""}","[{""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-26T00:00:00"", ""end_datetime"": ""2024-07-26T23:59:59""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-26T00:00:00"", ""end_datetime"": ""2024-07-26T23:59:59""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-26T00:00:00"", ""end_datetime"": ""2024-07-26T23:59:59""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-26T00:00:00"", ""end_datetime"": ""2024-07-26T23:59:59""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-26T00:00:00"", ""end_datetime"": ""2024-07-26T23:59:59""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-26T00:00:00"", ""end_datetime"": ""2024-07-26T23:59:59""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-26T00:00:00"", ""end_datetime"": ""2024-07-26T23:59:59""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-26T00:00:00"", ""end_datetime"": ""2024-07-26T23:59:59""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-26T00:00:00"", ""end_datetime"": ""2024-07-26T23:59:59""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-26T00:00:00"", ""end_datetime"": ""2024-07-26T23:59:59""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-26T00:00:00"", ""end_datetime"": ""2024-07-26T23:59:59""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-26T00:00:00"", ""end_datetime"": ""2024-07-26T23:59:59""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-26T00:00:00"", ""end_datetime"": ""2024-07-26T23:59:59""}}]","{""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-26T00:00:00"", ""end_datetime"": ""2024-07-26T23:59:59""}}",PASS,,12504,,False,"Recursion limit of 25 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
For troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/GRAPH_RECURSION_LIMIT"
Do I have any 'lunch' events scheduled this month?,get_calendar_events,"{""summary"": ""lunch"", ""start_datetime"": ""2024-07-01 00:00:00"", ""end_datetime"": ""2024-07-31 23:59:59""}","[{""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00"", ""end_datetime"": ""2024-07-31T23:59:59"", ""summary"": ""lunch""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00"", ""end_datetime"": ""2024-07-31T23:59:59"", ""summary"": ""lunch""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00"", ""end_datetime"": ""2024-07-31T23:59:59"", ""summary"": ""lunch""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00"", ""end_datetime"": ""2024-07-31T23:59:59"", ""summary"": ""lunch""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00"", ""end_datetime"": ""2024-07-31T23:59:59"", ""summary"": ""lunch""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00"", ""end_datetime"": ""2024-07-31T23:59:59"", ""summary"": ""lunch""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00"", ""end_datetime"": ""2024-07-31T23:59:59"", ""summary"": ""lunch""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00"", ""end_datetime"": ""2024-07-31T23:59:59"", ""summary"": ""lunch""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00"", ""end_datetime"": ""2024-07-31T23:59:59"", ""summary"": ""lunch""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00"", ""end_datetime"": ""2024-07-31T23:59:59"", ""summary"": ""lunch""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00"", ""end_datetime"": ""2024-07-31T23:59:59"", ""summary"": ""lunch""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00"", ""end_datetime"": ""2024-07-31T23:59:59"", ""summary"": ""lunch""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00"", ""end_datetime"": ""2024-07-31T23:59:59"", ""summary"": ""lunch""}}]",,FAIL,,14758,,False,"Recursion limit of 25 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
For troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/GRAPH_RECURSION_LIMIT"
What is the very next event on my calendar?,get_calendar_events,"{""max_results"": 1}","[{""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00"", ""end_datetime"": ""2024-07-16T17:00:00"", ""max_results"": 1}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00"", ""end_datetime"": ""2024-07-16T17:00:00"", ""max_results"": 1}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00"", ""end_datetime"": ""2024-07-16T17:00:00"", ""max_results"": 1}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00"", ""end_datetime"": ""2024-07-16T17:00:00"", ""max_results"": 1}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00"", ""end_datetime"": ""2024-07-16T17:00:00"", ""max_results"": 1}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00"", ""end_datetime"": ""2024-07-16T17:00:00"", ""max_results"": 1}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00"", ""end_datetime"": ""2024-07-16T17:00:00"", ""max_results"": 1}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00"", ""end_datetime"": ""2024-07-16T17:00:00"", ""max_results"": 1}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00"", ""end_datetime"": ""2024-07-16T17:00:00"", ""max_results"": 1}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00"", ""end_datetime"": ""2024-07-16T17:00:00"", ""max_results"": 1}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00"", ""end_datetime"": ""2024-07-16T17:00:00"", ""max_results"": 1}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00"", ""end_datetime"": ""2024-07-16T17:00:00"", ""max_results"": 1}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00"", ""end_datetime"": ""2024-07-16T17:00:00"", ""max_results"": 1}}]","{""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-16T09:00:00"", ""end_datetime"": ""2024-07-16T17:00:00"", ""max_results"": 1}}",PASS,,12263,,False,"Recursion limit of 25 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
For troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/GRAPH_RECURSION_LIMIT"
List events from yesterday.,get_calendar_events,"{""start_datetime"": ""2024-07-15 00:00:00"", ""end_datetime"": ""2024-07-15 23:59:59"", ""calendar_id"": ""primary"", ""max_results"": 10, ""order_by"": ""startTime""}","[{""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-15T00:00:00"", ""end_datetime"": ""2024-07-16T00:00:00""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-15T00:00:00"", ""end_datetime"": ""2024-07-16T00:00:00""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-15T00:00:00"", ""end_datetime"": ""2024-07-16T00:00:00""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-15T00:00:00"", ""end_datetime"": ""2024-07-16T00:00:00""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-15T00:00:00"", ""end_datetime"": ""2024-07-16T00:00:00""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-15T00:00:00"", ""end_datetime"": ""2024-07-16T00:00:00""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-15T00:00:00"", ""end_datetime"": ""2024-07-16T00:00:00""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-15T00:00:00"", ""end_datetime"": ""2024-07-16T00:00:00""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-15T00:00:00"", ""end_datetime"": ""2024-07-16T00:00:00""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-15T00:00:00"", ""end_datetime"": ""2024-07-16T00:00:00""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-15T00:00:00"", ""end_datetime"": ""2024-07-16T00:00:00""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-15T00:00:00"", ""end_datetime"": ""2024-07-16T00:00:00""}}, {""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-15T00:00:00"", ""end_datetime"": ""2024-07-16T00:00:00""}}]","{""name"": ""get_calendar_events"", ""args"": {""start_datetime"": ""2024-07-15T00:00:00"", ""end_datetime"": ""2024-07-16T00:00:00""}}",PASS,,11925,,False,"Recursion limit of 25 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
For troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/GRAPH_RECURSION_LIMIT"
Get details for event ID def456uvw.,get_calendar_event,"{""event_id"": ""def456uvw"", ""calendar_id"": ""primary""}","[{""name"": ""get_calendar_event"", ""args"": {""event_id"": ""def456uvw""}}, {""name"": ""get_calendar_event"", ""args"": {""event_id"": ""def456uvw""}}, {""name"": ""get_calendar_event"", ""args"": {""event_id"": ""def456uvw""}}, {""name"": ""get_calendar_event"", ""args"": {""event_id"": ""def456uvw""}}, {""name"": ""get_calendar_event"", ""args"": {""event_id"": ""def456uvw""}}, {""name"": ""get_calendar_event"", ""args"": {""event_id"": ""def456uvw""}}, {""name"": ""get_calendar_event"", ""args"": {""event_id"": ""def456uvw""}}, {""name"": ""get_calendar_event"", ""args"": {""event_id"": ""def456uvw""}}, {""name"": ""get_calendar_event"", ""args"": {""event_id"": ""def456uvw""}}, {""name"": ""get_calendar_event"", ""args"": {""event_id"": ""def456uvw""}}, {""name"": ""get_calendar_event"", ""args"": {""event_id"": ""def456uvw""}}, {""name"": ""get_calendar_event"", ""args"": {""event_id"": ""def456uvw""}}, {""name"": ""get_calendar_event"", ""args"": {""event_id"": ""def456uvw""}}]","{""name"": ""get_calendar_event"", ""args"": {""event_id"": ""def456uvw""}}",PASS,,7051,,False,"Recursion limit of 25 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
For troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/GRAPH_RECURSION_LIMIT"
